City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
73,avarua,-21.2078,-159.775,77.05,61.0,40.0,3.44,CK,1717540841.0
74,ouadda,8.0777,22.4007,68.22,94.0,100.0,6.4,CF,1717540842.0
75,nouadhibou,20.931,-17.0347,67.98,77.0,0.0,18.41,MR,1717540843.0
76,port lincoln,-34.7333,135.8667,53.22,85.0,8.0,3.74,AU,1717540569.0
77,mandalgovi,45.7625,106.2708,60.89,55.0,82.0,10.09,MN,1717540845.0
78,kingston,17.997,-76.7936,77.95,83.0,75.0,25.32,JM,1717540735.0
79,whitby,54.4877,-0.615,47.32,79.0,4.0,7.0,GB,1717540847.0
80,hermanus,-34.4187,19.2345,60.8,92.0,100.0,16.67,ZA,1717540680.0
81,hilo,19.7297,-155.09,82.13,78.0,100.0,13.8,US,1717540850.0
82,guadalupe y calvo,26.1,-106.9667,78.06,16.0,0.0,14.5,MX,1717540851.0
83,vorgashor,67.5833,63.95,24.8,94.0,9.0,6.08,RU,1717540852.0
84,prairie grove,35.9759,-94.3177,83.07,54.0,0.0,6.91,US,1717540853.0
85,mount gambier,-37.8333,140.7667,44.51,71.0,80.0,3.09,AU,1717540854.0
86,las khorey,11.1595,48.1967,89.64,63.0,4.0,4.18,SO,1717540855.0
87,georgetown,5.4112,100.3354,84.13,78.0,20.0,2.3,MY,1717540852.0
88,magadan,59.5667,150.8,38.53,81.0,99.0,5.73,RU,1717540857.0
89,okahandja,-21.9833,16.9167,44.38,16.0,0.0,2.13,NA,1717540859.0
90,bardai,11.65,7.2333,75.49,73.0,100.0,7.4,NG,1717540860.0
91,oumache,34.6929,5.6809,80.89,41.0,75.0,5.75,DZ,1717540861.0
92,anadyr,64.75,177.4833,39.7,69.0,20.0,11.01,RU,1717540862.0
93,belyy yar,53.6039,91.3903,44.49,70.0,0.0,11.18,RU,1717540863.0
94,miri,4.4148,114.0089,77.14,100.0,40.0,0.0,MY,1717540864.0
95,fuvahmulah,,,,,,,,
96,harstad,68.799,16.5293,55.24,66.0,45.0,15.01,NO,1717540866.0
97,thompson,55.7435,-97.8558,53.76,76.0,100.0,13.8,CA,1717540677.0
98,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,67.0,0.0,4.47,RU,1717540869.0
99,anaconda,46.1285,-112.9423,61.79,65.0,62.0,15.52,US,1717540796.0
100,menongue,-14.6585,17.691,55.15,27.0,0.0,3.27,AO,1717540871.0
101,colonia,50.9333,6.95,65.05,73.0,0.0,10.36,DE,1717540751.0
102,remire-montjoly,4.9167,-52.2667,82.44,83.0,0.0,3.44,GF,1717540873.0
103,punta arenas,-53.15,-70.9167,35.71,87.0,75.0,3.44,CL,1717540874.0
104,juegang,32.3174,121.1855,69.87,74.0,100.0,15.08,CN,1717540875.0
105,golhisar,37.1459,29.5088,64.58,65.0,23.0,0.54,TR,1717540876.0
106,bolgar,54.95,49.0667,58.66,95.0,14.0,9.35,RU,1717540878.0
107,port antonio,18.18,-76.4612,78.71,84.0,100.0,8.28,JM,1717540879.0
108,la ronge,55.1001,-105.2842,50.25,87.0,100.0,18.41,CA,1717540880.0
109,dudinka,69.4058,86.1778,28.67,92.0,100.0,5.01,RU,1717540881.0
110,al qadarif,14.0349,35.3834,90.57,35.0,100.0,8.61,SD,1717540882.0
111,falmouth,50.1544,-5.0711,54.5,94.0,40.0,9.22,GB,1717540883.0
112,nyurba,63.2842,118.3319,58.12,89.0,100.0,4.34,RU,1717540885.0
113,la piedad,20.35,-102.0,95.76,11.0,30.0,10.29,MX,1717540886.0
114,camargo,27.6667,-105.1667,98.87,4.0,1.0,10.22,MX,1717540887.0
115,lawas,13.764,121.0566,82.0,84.0,98.0,3.24,PH,1717540888.0
116,bonthe,7.5264,-12.505,79.9,86.0,97.0,6.91,SL,1717540889.0
117,praia da vitoria,38.7333,-27.0667,66.45,88.0,20.0,6.42,PT,1717540890.0
118,katsuura,35.1333,140.3,66.22,73.0,1.0,13.53,JP,1717540891.0
119,tromso,69.6496,18.957,50.02,66.0,2.0,18.41,NO,1717540892.0
120,general jose de san martin,-26.5374,-59.3416,62.42,88.0,77.0,5.03,AR,1717540894.0
121,rio grande,-32.035,-52.0986,55.51,79.0,100.0,9.1,BR,1717540895.0
122,weno,7.4515,151.8468,84.15,84.0,100.0,8.05,FM,1717540896.0
123,shimoda,34.6667,138.95,66.11,77.0,10.0,5.75,JP,1717540897.0
124,albany,42.6001,-73.9662,81.01,60.0,96.0,3.31,US,1717540855.0
125,longyearbyen,78.2186,15.6401,37.24,70.0,75.0,26.46,SJ,1717540899.0
126,bundaberg,-24.85,152.35,59.22,84.0,2.0,3.0,AU,1717540900.0
127,fairmont,39.4851,-80.1426,86.92,68.0,99.0,4.88,US,1717540683.0
128,port elizabeth,-33.918,25.5701,58.32,99.0,20.0,12.66,ZA,1717540902.0
129,vingt cinq,,,,,,,,
130,lata,40.1629,-8.3327,56.95,87.0,58.0,1.66,PT,1717540905.0
131,vila franca do campo,37.7167,-25.4333,64.89,99.0,64.0,2.84,PT,1717540906.0
132,benoy,8.9833,16.3199,89.2,34.0,29.0,6.17,TD,1717540907.0
133,khandyga,62.6667,135.6,46.09,74.0,100.0,6.38,RU,1717540908.0
134,berezovyy,51.6667,135.7,52.18,63.0,95.0,3.2,RU,1717540909.0
135,coronel suarez,-37.4547,-61.9334,43.65,78.0,100.0,7.02,AR,1717540765.0
136,aasiaat,68.7098,-52.8699,33.93,69.0,100.0,3.4,GL,1717540911.0
137,constantia,44.1833,28.65,63.7,84.0,29.0,7.18,RO,1717540777.0
138,saint-jean-de-monts,46.7833,-2.0667,59.68,89.0,68.0,11.72,FR,1717540914.0
139,klyuchi,52.2667,79.1667,47.41,79.0,82.0,5.26,RU,1717540915.0
140,grand falls-windsor,48.9332,-55.6649,49.93,98.0,100.0,10.63,CA,1717540916.0
141,prieska,-29.6641,22.7474,47.95,77.0,56.0,8.01,ZA,1717540917.0
142,vilyuchinsk,52.9306,158.4028,50.27,71.0,96.0,3.58,RU,1717540889.0
143,ghadamis,30.1337,9.5007,84.99,30.0,11.0,8.34,LY,1717540919.0
144,ungsang-nodongjagu,42.3578,130.4622,54.95,85.0,27.0,2.48,KP,1717540920.0
145,sitka,57.0531,-135.33,58.89,51.0,75.0,13.8,US,1717540921.0
146,keflavik,64.0049,-22.5624,42.71,65.0,75.0,32.21,IS,1717540922.0
147,sao jose da coroa grande,-8.8978,-35.1478,76.87,88.0,14.0,8.57,BR,1717540924.0
148,saint-philippe,-21.3585,55.7679,71.19,80.0,76.0,12.5,RE,1717540925.0
149,clifton,40.8584,-74.1638,82.45,57.0,0.0,11.5,US,1717540709.0
150,invercargill,-46.4,168.35,43.02,94.0,100.0,1.99,NZ,1717540927.0
151,taltal,-25.4,-70.4833,59.32,87.0,69.0,2.84,CL,1717540928.0
152,la'ie,21.6477,-157.9253,84.16,78.0,8.0,8.99,US,1717540929.0
153,kirsanov,52.6549,42.7224,61.5,92.0,1.0,6.11,RU,1717540799.0
154,geraldton,-28.7667,114.6,54.01,82.0,0.0,11.5,AU,1717540931.0
155,dryden,49.7833,-92.7503,75.49,64.0,75.0,10.36,CA,1717540933.0
156,pyapon,16.2833,95.6833,78.08,93.0,52.0,5.08,MM,1717540934.0
157,zaigrayevo,51.8336,108.2703,56.1,77.0,84.0,5.61,RU,1717540935.0
158,baidoa,3.1138,43.6498,71.6,85.0,54.0,11.12,SO,1717540936.0
159,nogliki,51.8333,143.1667,46.99,76.0,100.0,10.83,RU,1717540937.0
160,sao gabriel da cachoeira,-0.1303,-67.0892,82.2,78.0,20.0,3.44,BR,1717540938.0
161,howrah,22.5892,88.3103,80.6,89.0,40.0,0.0,IN,1717540939.0
162,kudahuvadhoo,2.6708,72.8944,82.65,72.0,22.0,8.52,MV,1717540940.0
163,udachny,66.4167,112.4,54.45,49.0,100.0,13.73,RU,1717540941.0
164,oltinko'l,40.8011,72.1634,74.8,37.0,100.0,2.71,UZ,1717540943.0
165,tazovsky,67.4667,78.7,30.33,96.0,100.0,10.8,RU,1717540944.0
166,mount pleasant,32.7941,-79.8626,82.18,68.0,0.0,10.36,US,1717540920.0
167,misratah,32.3754,15.0925,77.7,61.0,70.0,6.55,LY,1717540946.0
168,nerchinsk,51.9833,116.5833,67.42,52.0,0.0,4.94,RU,1717540947.0
169,corinto,37.9407,22.9573,78.22,41.0,7.0,2.68,GR,1717540948.0
170,tura,25.5198,90.2201,72.68,96.0,18.0,3.6,IN,1717540949.0
171,huambo,-12.7761,15.7392,58.8,47.0,0.0,5.75,AO,1717540950.0
172,hammerfest,70.6634,23.6821,43.25,81.0,33.0,2.3,NO,1717540952.0
173,isangel,-19.55,169.2667,78.91,78.0,20.0,2.3,VU,1717540667.0
174,dunedin,-45.8742,170.5036,51.8,65.0,100.0,1.45,NZ,1717540954.0
175,ridder,50.355,83.5133,50.65,95.0,85.0,3.49,KZ,1717540955.0
176,adra,36.7496,-3.0206,67.08,67.0,3.0,0.76,ES,1717540956.0
177,puerto san carlos,,,,,,,,
178,olonkinbyen,70.9221,-8.7187,31.33,98.0,92.0,18.81,SJ,1717540958.0
179,bodo,67.28,14.405,61.77,48.0,40.0,24.16,NO,1717540959.0
180,gorontalo,0.5412,123.0595,76.23,90.0,78.0,1.81,ID,1717540961.0
181,hadibu,12.65,54.0333,82.96,78.0,31.0,12.93,YE,1717540962.0
182,hithadhoo,-0.6,73.0833,82.96,73.0,22.0,6.11,MV,1717540963.0
183,dazhong,33.1997,120.4578,69.03,75.0,100.0,10.27,CN,1717540964.0
184,mont-laurier,46.5501,-75.4993,80.22,69.0,92.0,3.65,CA,1717540965.0
185,college,64.8569,-147.8028,72.07,39.0,75.0,6.91,US,1717540966.0
186,praia,14.9215,-23.5087,73.94,78.0,20.0,17.27,CV,1717540967.0
187,bathurst,-33.4166,149.5806,43.83,71.0,87.0,2.13,AU,1717540968.0
188,freetown,8.484,-13.2299,79.66,88.0,100.0,4.59,SL,1717540549.0
189,devinuwara,,,,,,,,
190,papatowai,-46.5619,169.4708,50.5,63.0,100.0,1.25,NZ,1717540972.0
191,caleta de carquin,-11.0925,-77.6267,65.35,80.0,7.0,9.71,PE,1717540973.0
192,aripuana,-9.1667,-60.6333,77.65,58.0,78.0,2.71,BR,1717540974.0
193,elva,58.2225,26.4211,55.54,76.0,0.0,6.91,EE,1717540975.0
194,kuqa,41.7278,82.9364,65.98,29.0,86.0,3.22,CN,1717540684.0
195,broken hill,-31.95,141.4333,47.46,63.0,70.0,8.52,AU,1717540977.0
196,kogalym,62.2654,74.4791,47.98,60.0,45.0,11.99,RU,1717540683.0
197,luganville,-15.5333,167.1667,80.58,72.0,24.0,8.63,VU,1717540980.0
198,brookings,44.3114,-96.7984,63.05,66.0,100.0,14.97,US,1717540856.0
199,kulhudhuffushi,6.6221,73.07,83.39,80.0,70.0,12.88,MV,1717540982.0
200,singaraja,-8.112,115.0882,78.82,80.0,58.0,3.8,ID,1717540983.0
201,stephenville,32.2207,-98.2023,96.24,54.0,0.0,10.36,US,1717540984.0
202,yreka,41.7354,-122.6345,88.36,34.0,0.0,5.75,US,1717540985.0
203,kasongo-lunda,-6.4667,16.8167,74.41,71.0,70.0,2.64,CD,1717540986.0
204,suntar,62.1444,117.6319,60.82,80.0,96.0,4.61,RU,1717540987.0
205,enewetak,11.3474,162.3373,81.55,84.0,100.0,21.36,MH,1717540988.0
206,sorong,-0.8833,131.25,78.82,86.0,94.0,5.57,ID,1717540990.0
207,veinticinco de mayo,-35.4323,-60.1727,48.97,78.0,100.0,1.99,AR,1717540991.0
208,polyarnyy,69.1989,33.4478,46.78,96.0,100.0,18.77,RU,1717540992.0
209,berdigestyakh,62.0989,126.6992,54.7,40.0,0.0,9.33,RU,1717540993.0
210,porto novo,6.4965,2.6036,82.22,84.0,71.0,8.16,BJ,1717540994.0
211,hihifo,,,,,,,,
212,ahau,,,,,,,,
213,redencao,-4.2258,-38.7306,73.47,96.0,8.0,2.46,BR,1717540998.0
214,namibe,-15.1961,12.1522,63.48,81.0,39.0,4.56,AO,1717540999.0
215,bikenibeu village,1.3673,173.1241,85.96,79.0,40.0,6.91,KI,1717541000.0
216,chonchi,-42.6128,-73.8092,52.12,90.0,100.0,8.41,CL,1717541001.0
217,samamea,,,,,,,,
218,jining,35.405,116.5814,72.3,48.0,100.0,13.22,CN,1717541003.0
219,sydney,-33.8679,151.2073,54.72,75.0,75.0,9.22,AU,1717540769.0
220,yarmouth,41.7057,-70.2286,69.8,72.0,0.0,6.91,US,1717541005.0
221,vila velha,-20.3297,-40.2925,73.35,88.0,20.0,9.22,BR,1717541007.0
222,sittwe,20.15,92.9,82.02,83.0,7.0,7.02,MM,1717541008.0
223,merizo village,13.2658,144.6691,80.33,78.0,93.0,11.83,GU,1717541009.0
224,brigantine,39.4101,-74.3646,75.4,84.0,0.0,8.05,US,1717541010.0
225,tual,-5.6667,132.75,81.01,83.0,75.0,18.86,ID,1717541011.0
226,nova sintra,14.8667,-24.7167,76.19,77.0,43.0,17.4,CV,1717541012.0
227,guasave,25.5667,-108.45,94.6,22.0,0.0,11.14,MX,1717541013.0
228,zhezqazghan,47.7833,67.7667,66.27,34.0,12.0,4.54,KZ,1717540869.0
229,kampong thom,12.7111,104.8887,79.86,80.0,100.0,0.83,KH,1717541016.0
230,borzya,50.3833,116.5167,69.53,38.0,1.0,6.17,RU,1717540879.0
231,cedeira,43.6797,-8.0209,64.04,80.0,33.0,12.28,ES,1717541018.0
232,nuuk,64.1835,-51.7216,39.81,100.0,100.0,6.91,GL,1717540860.0
233,saipan,15.1355,145.701,83.1,89.0,75.0,6.91,MP,1717541020.0
234,kirakira,-10.4544,161.9205,83.86,78.0,85.0,4.23,SB,1717541021.0
235,ust-nera,64.5667,143.2,60.96,35.0,8.0,4.21,RU,1717541022.0
236,newark,40.7357,-74.1724,83.19,64.0,75.0,11.5,US,1717540656.0
237,cockburn town,21.4612,-71.1419,84.7,74.0,59.0,3.04,TC,1717541024.0
238,waddan,29.1614,16.139,96.42,13.0,92.0,15.61,LY,1717541025.0
239,whitehorse,60.7161,-135.0538,54.37,82.0,100.0,3.44,CA,1717540813.0
240,fallon,39.4735,-118.7774,88.92,26.0,20.0,0.0,US,1717541028.0
241,hasaki,35.7333,140.8333,68.29,74.0,10.0,18.59,JP,1717541029.0
242,paracuru,-3.41,-39.0306,83.1,92.0,10.0,8.34,BR,1717541030.0
243,sosnogorsk,63.6023,53.8817,55.54,99.0,96.0,5.01,RU,1717541031.0
244,oranjemund,-28.55,16.4333,55.04,86.0,0.0,2.55,NA,1717541032.0
245,port sudan,19.6175,37.2164,84.69,60.0,0.0,5.75,SD,1717541033.0
246,pimentel,-6.8367,-79.9342,70.09,68.0,0.0,19.57,PE,1717541034.0
247,goroka,-6.0834,145.3873,70.27,70.0,30.0,1.52,PG,1717541036.0
248,onguday,50.75,86.15,46.65,93.0,75.0,1.43,RU,1717541037.0
249,edson,53.5835,-116.4356,66.31,20.0,0.0,16.11,CA,1717541038.0
250,ocean shores,46.9737,-124.1563,60.03,91.0,100.0,16.11,US,1717541039.0
251,ta`u,-14.2336,-169.5144,80.4,81.0,96.0,13.51,AS,1717541040.0
252,lesogorsk,56.0458,99.5136,51.93,70.0,100.0,3.0,RU,1717541041.0
253,fortuna,40.5982,-124.1573,71.92,63.0,0.0,14.97,US,1717541042.0
254,samarinda,-0.5,117.15,74.77,94.0,100.0,1.77,ID,1717541043.0
255,mejit,10.2753,170.8646,82.74,81.0,100.0,17.98,MH,1717541045.0
256,hemsby,52.6971,1.6918,51.42,89.0,100.0,16.55,GB,1717541046.0
257,hobyo,5.3505,48.5268,79.97,83.0,100.0,24.63,SO,1717541047.0
258,zheleznodorozhnyy,55.7503,38.0042,64.0,96.0,5.0,7.0,RU,1717541048.0
259,pisco,-13.7,-76.2167,62.65,82.0,75.0,4.61,PE,1717541049.0
260,morococha,-11.5997,-76.1411,39.25,44.0,0.0,5.14,PE,1717541050.0
261,varash,,,,,,,,
262,anloga,5.7947,0.8973,81.3,81.0,47.0,14.09,GH,1717541052.0
263,eyl,7.9803,49.8164,81.19,75.0,27.0,20.49,SO,1717540649.0
264,tadine,-21.55,167.8833,78.73,68.0,5.0,4.34,NC,1717541054.0
265,lingyuan,41.24,119.4011,68.58,40.0,100.0,4.72,CN,1717541056.0
266,trairi,-3.2778,-39.2689,75.88,93.0,11.0,7.23,BR,1717541057.0
267,khabary,53.6259,79.5345,44.56,79.0,99.0,4.5,RU,1717541058.0
268,mount darwin,-16.7725,31.5838,61.29,56.0,0.0,3.78,ZW,1717541059.0
269,carnarvon,-24.8667,113.6333,64.99,49.0,0.0,11.07,AU,1717541060.0
270,timbuktu,16.7735,-3.0074,95.92,25.0,2.0,3.89,ML,1717541061.0
271,emerald,-23.5333,148.1667,61.34,71.0,0.0,8.61,AU,1717541062.0
272,fale old settlement,-9.3852,-171.2468,83.75,72.0,100.0,9.13,TK,1717541063.0
273,lewiston orchards,46.3804,-116.9754,64.31,66.0,100.0,10.36,US,1717541065.0
274,adh dhibiyah,,,,,,,,
275,pandan,14.0453,124.1694,83.28,79.0,100.0,2.66,PH,1717541067.0
276,luis moya,22.4324,-102.2486,93.27,9.0,61.0,9.01,MX,1717541068.0
277,egilsstadir,65.2653,-14.3948,37.31,81.0,75.0,11.5,IS,1717541069.0
278,bage,-31.3314,-54.1069,50.95,95.0,100.0,9.17,BR,1717541070.0
279,alice springs,-23.7,133.8833,47.75,93.0,100.0,9.22,AU,1717541071.0
280,north bend,43.4065,-124.2243,73.98,68.0,100.0,16.11,US,1717540958.0
281,east london,-33.0153,27.9116,62.49,82.0,100.0,23.71,ZA,1717541073.0
282,mirny,62.5353,113.9611,58.98,69.0,74.0,6.04,RU,1717541075.0
283,lynden,48.9465,-122.4521,64.69,71.0,75.0,16.11,US,1717541076.0
284,ballina,-28.8667,153.5667,52.79,73.0,83.0,5.91,AU,1717541077.0
285,morondava,-20.2833,44.2833,72.32,86.0,0.0,5.91,MG,1717541078.0
286,homer,59.6425,-151.5483,57.09,60.0,75.0,9.22,US,1717541079.0
287,sambava,-14.2667,50.1667,71.06,83.0,33.0,11.68,MG,1717541080.0
288,kidal,18.4411,1.4078,97.68,14.0,61.0,4.61,ML,1717541081.0
289,springbok,-29.6643,17.8865,42.35,87.0,0.0,0.98,ZA,1717540977.0
290,myitkyina,25.3833,97.4,73.83,100.0,57.0,0.92,MM,1717541083.0
291,kerikeri,-35.2268,173.9474,61.92,80.0,100.0,11.99,NZ,1717541085.0
292,fort-shevchenko,44.5086,50.263,77.27,44.0,60.0,5.44,KZ,1717541086.0
293,pursat,12.3333,103.6667,73.87,87.0,49.0,2.71,KH,1717541087.0
294,sao vicente,-23.9631,-46.3919,69.28,59.0,100.0,5.99,BR,1717541066.0
295,ancud,-41.8697,-73.8203,54.57,81.0,100.0,16.37,CL,1717541089.0
296,cooma,-36.2333,149.1333,41.83,86.0,100.0,1.86,AU,1717541090.0
297,atafu village,-8.5421,-172.5159,83.14,77.0,100.0,10.74,TK,1717541091.0
298,queenstown,-31.8976,26.8753,51.35,79.0,100.0,35.37,ZA,1717541092.0
299,catriel,-37.8791,-67.7956,52.5,44.0,100.0,11.99,AR,1717541094.0
300,new norfolk,-42.7826,147.0587,51.3,89.0,86.0,1.86,AU,1717541095.0
301,kununurra,-15.7667,128.7333,66.18,55.0,0.0,11.5,AU,1717541096.0
302,axim,4.8699,-2.2405,78.71,86.0,89.0,6.67,GH,1717541097.0
303,puerto deseado,-47.7503,-65.8938,39.25,66.0,59.0,2.51,AR,1717540880.0
304,nili,33.7218,66.1302,58.59,41.0,0.0,7.43,AF,1717541099.0
305,mhamid,29.82,-5.72,86.36,15.0,1.0,5.64,MA,1717541100.0
306,hit,33.6416,42.8251,90.09,17.0,0.0,5.7,IQ,1717541101.0
307,kochkor-ata,41.0389,72.4833,66.9,44.0,100.0,5.17,UZ,1717541103.0
308,puerto baquerizo moreno,-0.9,-89.6,76.19,78.0,100.0,13.8,EC,1717540932.0
309,nadym,65.5333,72.5167,30.96,91.0,22.0,6.85,RU,1717541105.0
310,zaozersk,69.4005,32.4476,47.08,89.0,95.0,8.66,RU,1717541106.0
311,viedma,-40.8135,-62.9967,52.97,46.0,100.0,13.15,AR,1717540823.0
312,luorong,24.4058,109.6086,70.39,94.0,100.0,6.31,CN,1717541109.0
313,malmyzh,56.5205,50.6818,64.0,94.0,9.0,7.11,RU,1717541110.0
314,stara zagora,42.4328,25.6419,66.92,84.0,5.0,5.64,BG,1717541111.0
315,hayma',,,,,,,,
316,yinchuan,38.4681,106.2731,64.4,68.0,0.0,2.28,CN,1717541113.0
317,xinyuan,37.3,99.0,42.06,43.0,0.0,0.38,CN,1717541114.0
318,qamdo,31.1667,97.2333,45.09,67.0,100.0,7.94,CN,1717541115.0
319,tanki leendert,,,,,,,,
320,vadso,70.0744,29.7487,47.28,87.0,75.0,9.22,NO,1717541118.0
321,codrington,-38.2667,141.9667,45.95,71.0,83.0,4.41,AU,1717541119.0
322,gulf shores,30.246,-87.7008,85.37,71.0,40.0,12.66,US,1717540953.0
323,tucurui,-3.7661,-49.6725,82.04,70.0,96.0,0.49,BR,1717541121.0
324,tubarjal,30.4999,38.216,85.35,24.0,0.0,12.39,SA,1717541122.0
325,mar del plata,-38.0023,-57.5575,49.87,75.0,0.0,8.01,AR,1717541105.0
